,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
1672,2.117,2.096,2.859,0.385,0.397,0.106,-5.522,-5.414,0.958,2.707,3.763,7.742,-3.249,-2.496,6.056,-5.074,-4.248,4.693649388,-9.714,-9.229,2.882
1673,1.850,1.838,2.840,0.290,0.306,0.110,-5.851,-5.741,0.968,4.006,5.139,7.809,-2.656,-1.888,6.114,-4.994,-4.067,4.740409651,-9.078,-8.608,2.810
1674,1.896,1.890,2.820,0.208,0.227,0.112,-6.078,-5.975,0.972,6.073,7.198,7.826,-1.589,-0.789,6.096,-4.173,-3.175,4.732344517,-8.518,-8.051,2.773
1675,2.065,2.066,2.807,0.129,0.151,0.114,-5.946,-5.884,0.953,7.772,8.839,7.792,-0.093,0.744,5.980,-3.710,-2.652,4.653342407,-7.849,-7.396,2.744
1676,2.132,2.141,2.783,0.043,0.068,0.116,-5.865,-5.831,0.936,7.782,8.916,7.716,1.204,2.099,5.846,-3.496,-2.362,4.524741986,-6.938,-6.515,2.675
1677,2.228,2.241,2.750,-0.024,0.004,0.117,-5.794,-5.781,0.922,8.356,9.543,7.586,2.181,3.129,5.731,-2.759,-1.586,4.380863576,-6.011,-5.601,2.612
1678,2.305,2.320,2.720,-0.080,-0.049,0.118,-5.602,-5.620,0.899,8.762,9.944,7.485,2.803,3.770,5.634,-2.337,-1.147,4.266108039,-5.158,-4.776,2.562
1679,2.358,2.377,2.698,-0.146,-0.113,0.118,-5.350,-5.403,0.870,7.975,9.158,7.359,3.624,4.582,5.520,-2.139,-0.930,4.121252408,-4.280,-3.938,2.511
1680,2.487,2.512,2.680,-0.206,-0.171,0.118,-4.954,-5.054,0.842,7.265,8.432,7.142,4.454,5.400,5.394,-2.060,-0.836,3.974963084,-3.381,-3.068,2.488
1681,2.620,2.650,2.656,-0.253,-0.216,0.118,-4.492,-4.642,0.821,6.244,7.415,7.009,4.206,5.146,5.321,-2.343,-1.091,3.929678494,-2.333,-2.061,2.506
1682,2.695,2.729,2.635,-0.301,-0.262,0.118,-4.052,-4.244,0.812,4.553,5.746,6.986,3.936,4.874,5.297,-2.014,-0.743,3.87745719,-1.272,-1.048,2.569
1683,2.797,2.838,2.621,-0.338,-0.297,0.117,-3.489,-3.734,0.812,3.221,4.401,6.868,4.301,5.254,5.276,-1.505,-0.242,3.821275846,-0.128,0.074,2.608
1684,2.857,2.905,2.617,-0.363,-0.321,0.116,-2.799,-3.113,0.821,2.382,3.516,6.749,3.990,4.950,5.257,-1.537,-0.292,3.847822819,1.381,1.587,2.633
1685,2.807,2.859,2.626,-0.403,-0.359,0.116,-2.365,-2.718,0.835,0.012,1.204,6.802,3.116,4.060,5.334,-1.652,-0.406,3.901260399,3.109,3.312,2.718
1686,2.760,2.819,2.637,-0.443,-0.397,0.116,-2.162,-2.516,0.851,-2.599,-1.334,6.832,3.121,4.045,5.426,-1.656,-0.405,3.984857717,4.585,4.761,2.754
1687,2.623,2.692,2.647,-0.458,-0.411,0.114,-1.782,-2.158,0.874,-3.528,-2.303,6.892,3.346,4.224,5.501,-2.147,-0.871,4.066659948,5.920,6.071,2.804
1688,2.280,2.357,2.661,-0.459,-0.412,0.113,-1.221,-1.643,0.913,-5.340,-4.113,7.027,2.349,3.166,5.629,-2.694,-1.391,4.178868542,7.719,7.861,2.970
1689,1.904,1.985,2.679,-0.463,-0.415,0.112,-0.688,-1.151,0.957,-7.773,-6.537,7.025,1.636,2.409,5.683,-2.377,-1.113,4.346967343,9.624,9.794,3.066
1690,1.516,1.605,2.703,-0.465,-0.417,0.110,-0.159,-0.661,1.004,-8.323,-7.216,6.959,1.759,2.477,5.745,-2.453,-1.233,4.49459751,11.032,11.218,3.105
1691,0.932,1.028,2.730,-0.463,-0.415,0.108,0.282,-0.250,1.056,-9.147,-8.123,6.995,0.899,1.553,5.874,-2.854,-1.665,4.587196708,12.252,12.389,3.241
1692,0.201,0.302,2.745,-0.452,-0.404,0.106,0.406,-0.115,1.087,-10.642,-9.611,7.102,0.385,0.967,5.991,-2.360,-1.239,4.695107554,13.335,13.453,3.378
1693,-0.606,-0.498,2.755,-0.419,-0.373,0.103,0.590,0.073,1.118,-10.658,-9.732,7.196,0.834,1.338,6.128,-1.866,-0.809,4.837864024,14.054,14.194,3.483
1694,-1.478,-1.364,2.768,-0.372,-0.327,0.100,1.049,0.507,1.162,-10.507,-9.724,7.281,0.568,0.988,6.268,-1.748,-0.744,4.957956038,15.130,15.275,3.592
1695,-2.488,-2.368,2.766,-0.326,-0.283,0.097,1.332,0.784,1.187,-10.952,-10.236,7.361,0.203,0.509,6.373,-1.579,-0.644,5.104234861,16.349,16.504,3.668
1696,-3.642,-3.514,2.759,-0.275,-0.234,0.093,1.667,1.109,1.219,-10.807,-10.180,7.399,0.295,0.501,6.455,-1.298,-0.445,5.225869232,16.860,17.022,3.758
1697,-4.774,-4.639,2.749,-0.217,-0.179,0.090,2.066,1.487,1.260,-10.074,-9.616,7.445,-0.241,-0.166,6.580,-1.139,-0.359,5.233463697,17.492,17.689,3.862
1698,-6.150,-6.008,2.730,-0.152,-0.118,0.086,2.226,1.653,1.273,-9.944,-9.554,7.490,-0.934,-0.978,6.703,-1.025,-0.299,5.274591389,17.796,18.010,3.911
1699,-7.795,-7.648,2.708,-0.087,-0.056,0.084,2.392,1.816,1.281,-10.676,-10.249,7.477,-1.464,-1.585,6.785,-1.365,-0.646,5.317453957,17.891,18.158,3.936
1700,-9.448,-9.296,2.687,-0.009,0.018,0.081,2.515,1.949,1.285,-9.911,-9.589,7.505,-1.671,-1.902,6.830,-1.146,-0.497,5.303342875,17.687,17.989,3.953
1701,-11.158,-11.002,2.655,0.093,0.115,0.078,2.487,1.960,1.272,-7.908,-7.745,7.558,-1.721,-2.086,6.877,-0.291,0.241,5.294300274,17.199,17.492,3.930
1702,-13.076,-12.913,2.631,0.184,0.201,0.077,2.374,1.888,1.263,-7.130,-7.066,7.603,-2.289,-2.764,6.922,-0.034,0.418,5.250968013,16.208,16.502,3.902
1703,-15.141,-14.971,2.610,0.270,0.282,0.077,2.290,1.840,1.264,-6.406,-6.488,7.686,-3.177,-3.763,6.898,0.166,0.531,5.137792004,14.622,14.946,3.886
1704,-17.296,-17.118,2.600,0.370,0.376,0.077,1.960,1.573,1.228,-6.308,-6.456,7.669,-4.684,-5.402,6.932,-0.026,0.270,4.988005339,13.678,14.028,3.800
1705,-19.684,-19.498,2.596,0.478,0.478,0.079,1.578,1.257,1.203,-6.228,-6.424,7.656,-5.324,-6.167,7.039,0.099,0.306,4.852403314,12.246,12.600,3.709
1706,-22.090,-21.896,2.602,0.579,0.573,0.082,1.189,0.935,1.183,-6.497,-6.713,7.769,-6.467,-7.436,7.065,0.158,0.287,4.701130435,10.527,10.889,3.608
1707,-24.405,-24.203,2.617,0.679,0.667,0.085,0.654,0.487,1.153,-6.193,-6.447,7.804,-8.072,-9.157,7.047,0.043,0.092,4.587587861,8.916,9.286,3.526
1708,-26.726,-26.515,2.636,0.780,0.762,0.090,0.149,0.067,1.139,-5.441,-5.757,7.831,-9.293,-10.473,7.127,0.257,0.205,4.506474949,6.642,6.986,3.477
1709,-28.869,-28.650,2.659,0.861,0.837,0.094,-0.523,-0.504,1.122,-5.500,-5.861,8.024,-10.914,-12.180,7.259,0.447,0.289,4.399023355,3.566,3.842,3.400
1710,-30.869,-30.642,2.688,0.930,0.902,0.098,-1.428,-1.278,1.104,-5.119,-5.567,8.058,-12.735,-14.074,7.363,0.579,0.301,4.297661873,0.752,0.955,3.320
1711,-32.912,-32.674,2.720,1.012,0.978,0.103,-2.123,-1.871,1.114,-3.909,-4.480,7.955,-13.710,-15.120,7.423,0.650,0.289,4.240730668,-1.855,-1.721,3.281
1712,-34.550,-34.308,2.741,1.082,1.042,0.108,-2.757,-2.412,1.120,-2.679,-3.385,7.974,-13.795,-15.260,7.411,1.119,0.676,4.207441531,-5.384,-5.350,3.272
1713,-35.805,-35.561,2.752,1.125,1.081,0.111,-3.603,-3.136,1.128,-1.286,-2.127,7.988,-13.302,-14.790,7.356,1.910,1.358,4.17718433,-8.892,-8.940,3.267
1714,-36.894,-36.650,2.748,1.152,1.104,0.114,-4.204,-3.655,1.153,0.532,-0.430,7.893,-12.851,-14.352,7.286,2.747,2.115,4.166301363,-11.597,-11.685,3.285
1715,-37.582,-37.339,2.735,1.167,1.117,0.117,-4.551,-3.962,1.164,2.313,1.223,7.879,-12.536,-14.071,7.240,4.059,3.334,4.174694284,-14.545,-14.698,3.340
1716,-37.917,-37.673,2.715,1.172,1.119,0.118,-4.794,-4.177,1.164,4.139,2.911,7.798,-11.988,-13.543,7.190,5.466,4.642,4.166622611,-17.700,-17.960,3.342
1717,-38.152,-37.908,2.676,1.156,1.101,0.118,-5.108,-4.460,1.154,5.549,4.253,7.543,-11.850,-13.390,7.092,6.079,5.232,4.104120703,-19.420,-19.740,3.282
1718,-38.075,-37.837,2.629,1.109,1.053,0.115,-5.762,-5.042,1.141,6.589,5.215,7.317,-10.746,-12.283,6.904,6.955,6.075,4.04301267,-20.824,-21.184,3.348
1719,-37.628,-37.398,2.573,1.042,0.987,0.112,-6.372,-5.585,1.139,8.182,6.700,7.155,-8.049,-9.552,6.628,8.564,7.602,4.017568033,-23.269,-23.725,3.491
1720,-37.120,-36.894,2.507,0.960,0.906,0.108,-6.824,-6.007,1.142,8.966,7.546,6.942,-6.076,-7.493,6.332,9.343,8.384,3.920498751,-24.298,-24.793,3.443
1721,-36.493,-36.269,2.445,0.874,0.821,0.104,-7.226,-6.402,1.136,8.869,7.589,6.737,-5.178,-6.534,6.074,9.559,8.677,3.816404884,-24.591,-25.077,3.413
1722,-35.657,-35.440,2.382,0.785,0.733,0.100,-7.468,-6.656,1.111,9.988,8.749,6.600,-3.887,-5.170,5.793,10.061,9.199,3.770885463,-25.009,-25.524,3.434
1723,-34.695,-34.485,2.316,0.684,0.634,0.096,-7.643,-6.854,1.086,11.108,9.947,6.457,-2.008,-3.175,5.466,10.398,9.545,3.70096854,-23.950,-24.467,3.215
1724,-33.690,-33.489,2.260,0.545,0.499,0.089,-8.174,-7.371,1.084,10.819,9.830,6.353,0.023,-1.061,5.260,10.556,9.776,3.649980591,-22.867,-23.362,3.131
1725,-32.646,-32.457,2.224,0.376,0.335,0.082,-8.988,-8.134,1.113,11.124,10.275,6.419,2.690,1.708,5.104,10.987,10.272,3.658224168,-22.135,-22.606,3.272
1726,-31.416,-31.234,2.205,0.215,0.179,0.077,-9.374,-8.531,1.117,10.110,9.507,6.476,5.010,4.178,4.902,10.317,9.717,3.636174765,-20.564,-21.025,3.224
1727,-30.042,-29.863,2.195,0.060,0.030,0.074,-9.488,-8.697,1.105,7.189,6.925,6.456,6.282,5.550,4.891,8.608,8.187,3.655095187,-18.382,-18.814,3.087
1728,-28.600,-28.429,2.186,-0.097,-0.122,0.072,-9.737,-8.974,1.119,5.775,5.792,6.575,7.764,7.157,4.916,7.749,7.446,3.718765505,-15.837,-16.227,3.048
1729,-27.091,-26.929,2.179,-0.237,-0.255,0.071,-9.698,-8.987,1.116,5.340,5.587,6.856,9.729,9.281,4.901,7.284,7.053,3.7267375,-13.120,-13.503,3.039
1730,-25.461,-25.306,2.177,-0.366,-0.379,0.071,-9.448,-8.813,1.100,5.498,5.906,7.041,12.178,11.813,4.978,6.771,6.645,3.761253687,-10.421,-10.743,2.996
1731,-23.955,-23.809,2.175,-0.501,-0.507,0.072,-9.347,-8.767,1.106,6.497,7.038,7.120,14.562,14.247,5.028,6.416,6.409,3.842982287,-8.386,-8.653,3.007
1732,-22.676,-22.538,2.155,-0.612,-0.613,0.074,-9.105,-8.583,1.102,7.355,7.976,7.243,16.128,15.912,5.065,5.903,5.960,3.896882024,-6.293,-6.560,3.038
1733,-21.423,-21.289,2.129,-0.701,-0.698,0.076,-8.623,-8.184,1.084,8.483,9.071,7.298,17.528,17.377,5.119,5.262,5.359,3.973871072,-3.705,-3.945,3.005
1734,-20.449,-20.318,2.091,-0.774,-0.765,0.077,-7.913,-7.575,1.055,10.405,10.913,7.261,19.230,19.086,5.034,4.945,5.063,4.010769786,-1.546,-1.781,2.979
1735,-19.672,-19.541,2.029,-0.818,-0.805,0.078,-7.066,-6.828,1.026,12.511,12.948,7.303,20.915,20.822,4.957,4.942,5.060,3.968085797,0.420,0.155,3.008
1736,-18.823,-18.694,1.986,-0.840,-0.825,0.078,-6.297,-6.140,1.002,15.239,15.467,7.162,22.631,22.544,4.859,4.699,4.835,3.941324527,2.132,1.889,2.965
1737,-18.144,-18.019,1.965,-0.851,-0.833,0.077,-5.493,-5.424,0.979,17.940,17.898,6.847,24.279,24.115,4.665,4.465,4.601,3.89882318,3.466,3.293,2.885
1738,-17.764,-17.643,1.935,-0.841,-0.821,0.076,-4.688,-4.698,0.969,19.396,19.210,6.695,25.110,24.909,4.514,5.067,5.143,3.800492473,4.784,4.644,2.851
1739,-17.563,-17.444,1.923,-0.823,-0.802,0.076,-4.183,-4.226,0.971,21.205,20.843,6.610,25.373,25.179,4.441,6.193,6.194,3.74279501,5.504,5.345,2.808
1740,-17.730,-17.608,1.927,-0.803,-0.781,0.076,-3.575,-3.661,0.968,23.395,22.819,6.374,25.835,25.567,4.309,6.776,6.729,3.699134689,5.780,5.583,2.759
1741,-18.000,-17.874,1.931,-0.756,-0.734,0.075,-2.688,-2.844,0.971,25.473,24.722,6.189,27.036,26.693,4.147,7.026,6.918,3.630826227,6.261,6.012,2.757
1742,-18.067,-17.940,1.945,-0.693,-0.672,0.073,-2.034,-2.231,0.978,29.383,28.316,5.975,28.109,27.739,4.078,7.436,7.264,3.550453657,6.320,6.008,2.740
1743,-18.410,-18.281,1.968,-0.632,-0.611,0.072,-1.549,-1.772,0.982,33.434,31.956,5.728,28.937,28.479,4.089,7.191,6.981,3.47160633,6.473,6.143,2.729
1744,-18.958,-18.832,1.998,-0.548,-0.530,0.070,-1.455,-1.660,0.948,34.376,32.716,5.527,29.810,29.352,3.986,7.491,7.190,3.311816109,5.871,5.510,2.588
1745,-19.340,-19.213,2.024,-0.468,-0.452,0.069,-1.103,-1.318,0.935,35.377,33.533,5.320,29.962,29.469,3.918,7.422,7.071,3.185595434,5.598,5.216,2.509
1746,-19.868,-19.739,2.049,-0.397,-0.382,0.068,-0.602,-0.840,0.923,34.175,32.242,5.112,29.689,29.113,3.852,6.290,5.942,3.121934172,4.949,4.523,2.458
1747,-20.361,-20.230,2.074,-0.315,-0.303,0.068,-0.281,-0.526,0.901,34.213,32.153,4.905,29.378,28.762,3.801,6.193,5.801,3.029219524,4.259,3.796,2.412
1748,-20.702,-20.567,2.093,-0.217,-0.209,0.066,0.184,-0.085,0.896,36.330,34.049,4.744,28.473,27.843,3.786,6.797,6.355,2.908332037,4.285,3.833,2.381
1749,-21.058,-20.920,2.106,-0.130,-0.124,0.066,0.421,0.154,0.874,36.509,34.101,4.605,28.087,27.414,3.779,6.600,6.130,2.835285907,4.216,3.767,2.295
1750,-21.610,-21.472,2.121,-0.037,-0.035,0.065,0.183,-0.032,0.803,35.370,32.917,4.363,28.143,27.421,3.740,6.679,6.145,2.741855548,3.432,2.946,2.116
1751,-21.867,-21.727,2.125,0.041,0.040,0.064,0.145,-0.036,0.772,34.487,31.976,4.280,27.116,26.384,3.728,6.527,5.958,2.736608499,3.058,2.573,2.025
1752,-21.896,-21.754,2.117,0.113,0.110,0.064,0.294,0.130,0.759,32.716,30.165,4.242,25.894,25.143,3.695,5.547,4.985,2.798817475,3.281,2.848,1.915
1753,-21.965,-21.823,2.107,0.171,0.166,0.064,0.368,0.217,0.733,31.214,28.649,4.194,24.763,23.986,3.644,4.792,4.221,2.777101081,2.908,2.466,1.862
1754,-22.014,-21.868,2.095,0.211,0.205,0.063,0.415,0.278,0.706,30.776,28.162,4.198,22.898,22.136,3.566,4.538,3.929,2.702664591,2.082,1.597,1.884
1755,-21.818,-21.673,2.074,0.246,0.238,0.062,0.394,0.273,0.676,28.380,25.873,4.178,20.708,19.945,3.489,3.479,2.925,2.691467514,2.258,1.803,1.841
1756,-21.544,-21.404,2.043,0.275,0.266,0.060,0.247,0.143,0.638,24.240,22.014,4.120,18.433,17.644,3.374,1.507,1.090,2.650890769,2.643,2.229,1.823
1757,-21.012,-20.875,2.010,0.292,0.282,0.059,0.194,0.111,0.609,21.371,19.273,4.145,16.548,15.754,3.333,0.577,0.197,2.651118168,2.654,2.243,1.817
1758,-20.141,-20.008,1.967,0.298,0.288,0.059,0.144,0.092,0.584,18.329,16.315,4.250,14.361,13.567,3.386,0.033,-0.328,2.740969909,3.249,2.873,1.736
1759,-19.356,-19.231,1.929,0.306,0.295,0.058,0.331,0.266,0.561,14.931,13.079,4.271,12.207,11.429,3.374,-1.519,-1.776,2.731008701,3.441,3.098,1.721
1760,-18.562,-18.439,1.896,0.284,0.275,0.055,0.376,0.308,0.550,11.566,9.925,4.285,9.891,9.126,3.328,-2.332,-2.568,2.751017131,3.505,3.150,1.813
1761,-17.522,-17.404,1.854,0.262,0.254,0.054,0.446,0.375,0.547,8.442,6.990,4.479,8.171,7.452,3.370,-3.742,-3.926,2.844713004,4.572,4.232,1.796
1762,-16.431,-16.324,1.818,0.244,0.237,0.053,0.550,0.468,0.548,5.319,4.121,4.617,6.710,6.093,3.402,-5.400,-5.441,2.95236988,5.090,4.772,1.758
1763,-15.308,-15.209,1.790,0.223,0.217,0.052,0.639,0.561,0.568,2.812,1.791,4.617,4.331,3.748,3.394,-6.652,-6.581,2.973214074,5.157,4.806,1.811
1764,-14.038,-13.945,1.758,0.210,0.205,0.053,0.745,0.682,0.597,0.127,-0.782,4.763,2.381,1.813,3.488,-8.603,-8.439,2.954736137,6.176,5.818,1.778
1765,-12.890,-12.804,1.729,0.211,0.207,0.053,0.925,0.861,0.622,-2.908,-3.628,4.807,0.320,-0.205,3.534,-10.164,-9.926,3.020397821,7.525,7.226,1.769
1766,-11.957,-11.877,1.705,0.208,0.205,0.054,1.221,1.134,0.647,-5.601,-6.153,4.747,-2.766,-3.300,3.557,-11.042,-10.769,3.155521177,8.450,8.184,1.882
1767,-11.093,-11.020,1.685,0.207,0.205,0.055,1.595,1.484,0.673,-9.075,-9.474,4.922,-4.752,-5.287,3.684,-12.389,-12.069,3.252395847,8.909,8.608,1.915
1768,-10.239,-10.175,1.673,0.224,0.222,0.057,2.125,1.976,0.692,-11.293,-11.609,5.071,-5.697,-6.180,3.749,-13.008,-12.661,3.32590318,9.122,8.803,1.910
1769,-9.620,-9.562,1.674,0.245,0.243,0.058,2.568,2.392,0.708,-12.363,-12.685,5.083,-7.308,-7.763,3.746,-13.217,-12.871,3.359971627,9.362,9.057,1.951
1770,-9.138,-9.084,1.688,0.267,0.265,0.060,2.708,2.553,0.746,-14.798,-15.037,5.222,-9.211,-9.656,3.830,-14.753,-14.349,3.391684615,9.544,9.211,1.958
1771,-8.754,-8.703,1.706,0.295,0.293,0.062,2.864,2.730,0.778,-15.605,-15.856,5.354,-10.689,-11.134,3.984,-15.903,-15.500,3.575345711,9.796,9.443,2.015
1772,-8.446,-8.398,1.722,0.325,0.323,0.063,3.102,2.965,0.796,-15.350,-15.683,5.488,-12.268,-12.731,4.163,-16.683,-16.323,3.860006027,10.437,10.097,2.139
1773,-7.993,-7.953,1.751,0.357,0.355,0.066,3.295,3.163,0.820,-17.942,-18.141,5.848,-13.972,-14.462,4.416,-18.631,-18.192,4.113961489,10.577,10.199,2.195
1774,-7.585,-7.550,1.794,0.382,0.380,0.069,3.610,3.474,0.853,-21.324,-21.350,6.222,-15.527,-16.053,4.670,-20.369,-19.852,4.291922012,10.367,9.943,2.253
1775,-7.371,-7.338,1.829,0.413,0.410,0.071,4.116,3.940,0.884,-23.167,-23.109,6.434,-16.763,-17.278,4.755,-21.378,-20.854,4.430910681,10.503,10.059,2.262
1776,-7.047,-7.018,1.860,0.443,0.439,0.073,4.586,4.373,0.927,-24.586,-24.465,6.691,-17.514,-18.005,4.798,-22.277,-21.712,4.546497835,10.485,10.014,2.243
1777,-6.748,-6.725,1.886,0.451,0.448,0.074,4.862,4.637,0.966,-24.839,-24.728,6.864,-18.788,-19.302,4.929,-22.978,-22.354,4.67494934,10.944,10.479,2.309
1778,-6.576,-6.555,1.899,0.466,0.463,0.075,5.161,4.915,0.989,-23.610,-23.595,6.901,-20.196,-20.740,5.106,-23.292,-22.677,4.826665801,11.120,10.654,2.342
1779,-6.047,-6.036,1.911,0.475,0.472,0.076,5.062,4.846,0.985,-23.663,-23.620,6.858,-19.990,-20.580,5.162,-22.944,-22.375,4.865289521,10.851,10.357,2.333
1780,-5.406,-5.404,1.918,0.473,0.470,0.076,5.239,5.010,0.995,-23.762,-23.707,6.895,-20.214,-20.807,5.202,-22.918,-22.344,4.869021037,10.900,10.404,2.341
1781,-4.640,-4.645,1.915,0.461,0.458,0.076,5.859,5.551,1.016,-24.575,-24.484,6.991,-20.422,-20.944,5.243,-22.667,-22.095,4.841319614,10.275,9.765,2.321
1782,-3.859,-3.873,1.916,0.448,0.446,0.075,6.155,5.816,1.027,-24.342,-24.248,6.948,-19.871,-20.364,5.191,-22.366,-21.800,4.780087128,10.150,9.623,2.326
1783,-3.015,-3.035,1.917,0.429,0.427,0.075,6.228,5.889,1.032,-23.218,-23.164,6.910,-19.313,-19.800,5.047,-22.607,-21.996,4.665712697,11.377,10.882,2.374
1784,-2.072,-2.103,1.917,0.406,0.405,0.074,6.514,6.144,1.046,-22.663,-22.616,6.796,-18.992,-19.461,4.983,-22.401,-21.755,4.555076863,11.305,10.794,2.354
1785,-1.081,-1.126,1.925,0.383,0.384,0.073,6.615,6.238,1.057,-21.969,-21.897,6.465,-17.993,-18.485,4.892,-21.523,-20.869,4.437339171,9.947,9.335,2.307
1786,0.021,-0.037,1.925,0.353,0.355,0.072,6.989,6.565,1.075,-20.764,-20.718,6.275,-16.643,-17.097,4.794,-20.655,-20.009,4.291471921,9.854,9.231,2.281
1787,1.380,1.309,1.910,0.312,0.315,0.071,7.877,7.328,1.116,-19.296,-19.326,6.110,-15.055,-15.378,4.698,-19.526,-18.900,4.070414876,9.685,9.094,2.255
1788,2.571,2.488,1.918,0.272,0.276,0.070,8.346,7.732,1.151,-18.383,-18.431,6.050,-14.114,-14.390,4.712,-18.693,-18.063,4.004715304,9.600,8.999,2.251
1789,3.718,3.627,1.946,0.230,0.237,0.070,8.653,8.000,1.184,-17.225,-17.300,6.125,-13.309,-13.584,4.782,-17.911,-17.309,4.020320506,10.864,10.291,2.235
1790,4.844,4.742,1.964,0.194,0.201,0.070,9.096,8.383,1.226,-16.376,-16.452,6.123,-12.170,-12.402,4.810,-17.300,-16.685,3.945963648,11.080,10.507,2.251
1791,5.965,5.849,1.986,0.155,0.163,0.071,9.480,8.709,1.271,-16.655,-16.620,6.112,-11.607,-11.821,4.893,-17.176,-16.451,3.92824027,10.357,9.731,2.248
1792,7.013,6.885,2.011,0.120,0.130,0.071,9.776,8.962,1.311,-15.761,-15.742,6.144,-10.491,-10.665,4.992,-16.550,-15.812,3.942734469,10.373,9.733,2.274
1793,7.965,7.827,2.023,0.090,0.100,0.072,10.126,9.261,1.352,-13.632,-13.732,6.141,-8.051,-8.100,5.098,-15.502,-14.814,3.883769632,10.342,9.703,2.377
1794,8.924,8.775,2.051,0.057,0.068,0.072,10.372,9.468,1.387,-12.782,-12.921,6.208,-7.047,-7.068,5.203,-14.816,-14.142,3.9184544,10.309,9.665,2.429
1795,9.852,9.694,2.097,0.025,0.037,0.073,10.349,9.443,1.408,-12.335,-12.558,6.351,-7.073,-7.168,5.301,-14.074,-13.455,4.049233021,10.569,9.917,2.449
1796,10.850,10.677,2.133,-0.004,0.009,0.074,10.642,9.691,1.451,-11.612,-11.817,6.364,-6.032,-6.062,5.443,-13.551,-12.938,4.1215666,10.913,10.282,2.546
1797,11.798,11.613,2.167,-0.040,-0.026,0.076,11.002,9.997,1.507,-11.557,-11.626,6.524,-5.971,-5.947,5.643,-13.413,-12.724,4.287541412,11.687,11.094,2.593
1798,12.600,12.410,2.202,-0.088,-0.073,0.078,11.139,10.096,1.557,-11.926,-11.833,6.745,-5.856,-5.810,5.812,-13.407,-12.641,4.436868286,11.973,11.355,2.666
1799,13.294,13.094,2.217,-0.127,-0.109,0.080,11.487,10.382,1.611,-10.839,-10.722,7.003,-4.771,-4.597,6.062,-13.362,-12.532,4.562637661,11.323,10.634,2.791
1800,14.048,13.839,2.239,-0.154,-0.136,0.081,12.102,10.909,1.673,-9.401,-9.361,7.103,-3.768,-3.523,6.205,-13.003,-12.194,4.597516238,10.633,9.872,2.862
1801,14.397,14.184,2.208,-0.165,-0.146,0.080,12.011,10.818,1.633,-7.550,-7.564,6.896,-2.444,-2.169,6.101,-11.041,-10.309,4.539401013,9.201,8.396,2.863
1802,14.333,14.121,2.129,-0.157,-0.140,0.075,11.175,10.076,1.492,-5.231,-5.281,6.501,-0.738,-0.474,5.826,-7.410,-6.817,4.497564236,6.975,6.154,2.853
1803,14.409,14.196,2.078,-0.144,-0.128,0.073,10.255,9.255,1.360,-3.290,-3.422,6.270,0.916,1.107,5.545,-5.779,-5.250,4.376560702,6.461,5.763,2.737
1804,14.717,14.501,2.040,-0.138,-0.123,0.070,9.467,8.551,1.237,-1.311,-1.551,5.917,3.119,3.324,5.198,-5.729,-5.221,4.11222002,6.876,6.339,2.550
1805,14.835,14.616,2.006,-0.128,-0.114,0.067,8.586,7.766,1.108,0.613,0.298,5.535,4.859,5.077,4.886,-4.406,-4.018,3.883384529,5.866,5.406,2.472
1806,14.949,14.722,1.982,-0.099,-0.087,0.063,7.756,7.031,0.983,3.321,2.844,4.993,7.659,7.903,4.662,-2.737,-2.591,3.52165004,3.889,3.419,2.439
1807,15.062,14.827,1.977,-0.084,-0.074,0.062,6.775,6.152,0.871,5.815,5.208,4.576,8.370,8.603,4.370,-1.378,-1.426,3.286022563,2.589,2.205,2.293
1808,15.246,15.016,1.982,-0.083,-0.073,0.060,5.763,5.251,0.772,7.344,6.741,4.437,8.691,8.988,4.247,1.023,0.825,3.244063039,0.871,0.556,2.144
1809,15.324,15.102,1.988,-0.086,-0.076,0.060,5.002,4.568,0.718,8.120,7.586,4.398,9.631,9.940,4.222,3.337,3.012,3.361785994,-1.300,-1.659,2.161
1810,15.186,14.969,1.988,-0.092,-0.081,0.062,4.495,4.105,0.705,10.851,10.222,4.437,11.612,11.848,4.163,5.947,5.443,3.342428138,-1.614,-1.944,2.106
1811,15.384,15.170,1.996,-0.099,-0.088,0.063,3.884,3.555,0.676,14.164,13.426,4.573,13.615,13.856,4.277,7.432,6.865,3.271887743,-0.780,-1.017,2.061
1812,15.782,15.565,2.014,-0.136,-0.124,0.063,3.239,2.970,0.643,15.792,15.037,4.644,13.325,13.600,4.137,7.441,6.909,3.244801043,-0.684,-0.869,2.098
1813,15.770,15.545,2.027,-0.182,-0.169,0.065,2.603,2.402,0.620,15.951,15.315,4.719,13.283,13.608,4.108,8.012,7.438,3.207458953,-1.466,-1.634,2.148
1814,15.893,15.663,2.038,-0.204,-0.190,0.067,2.084,1.936,0.605,16.593,16.011,4.714,14.110,14.459,4.169,8.440,7.835,3.144793739,-1.504,-1.645,2.116
