,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
645,46.794,46.771,4.864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
646,47.740,47.718,5.068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
647,47.811,47.789,5.216,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
648,47.006,46.990,5.293,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
649,45.152,45.145,5.319,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
650,42.088,42.092,5.295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
651,37.765,37.783,5.227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
652,32.417,32.455,5.135,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
653,26.268,26.331,5.028,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
654,19.521,19.611,4.917,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
655,12.363,12.479,4.823,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
656,5.130,5.277,4.730,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
657,-2.026,-1.845,4.632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
658,-9.056,-8.842,4.539,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
659,-15.514,-15.267,4.453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
660,-21.473,-21.197,4.373,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
661,-27.085,-26.785,4.299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
662,-32.130,-31.808,4.236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
663,-36.545,-36.202,4.194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
664,-40.328,-39.971,4.175,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
665,-43.662,-43.298,4.179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
666,-46.475,-46.111,4.212,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
